name,house,plus_one
Umar Moss,76 Cedar Lane,no
Liam Iqbal,25 Cedar Lane,no
Nia Doyle,17 Cedar Lane,no
Ada Moss,11 Cedar Lane,no
Finn Bell,48 Cedar Lane,no
Tess Shah,49 Cedar Lane,no
Ben Vance,56 Cedar Lane,yes
Liam Price,41 Cedar Lane,no
Wes Nash,59 Cedar Lane,yes
Hari Gill,69 Cedar Lane,no
Wes Trent,10 Cedar Lane,no
Hari Nash,17 Cedar Lane,yes
Kemi Lloyd,72 Cedar Lane,no
Dev Owen,16 Cedar Lane,no
Vi Reid,49 Cedar Lane,no
Dev Khan,73 Cedar Lane,no
Dev Trent,1 Cedar Lane,no
Ella Hughes,50 Cedar Lane,yes
Quinn Chen,73 Cedar Lane,yes
Vi Moss,23 Cedar Lane,yes
Kemi Doyle,4 Cedar Lane,yes
Vi Price,37 Cedar Lane,no
Jon Chen,5 Cedar Lane,no
Quinn Reid,31 Cedar Lane,yes
Rosa Doyle,71 Cedar Lane,yes
Rosa Khan,73 Cedar Lane,yes
Cara Hughes,24 Cedar Lane,no
Hari Owen,79 Cedar Lane,no
Zak Moss,33 Cedar Lane,no
Tess Moss,45 Cedar Lane,no
Nia Chen,49 Cedar Lane,no
Hari Nash,21 Cedar Lane,no
Wes Trent,75 Cedar Lane,no
Quinn Price,20 Cedar Lane,no
Maya Evans,21 Cedar Lane,yes
Pip Price,67 Cedar Lane,no
Sam Frost,18 Cedar Lane,no
Zak Gill,19 Cedar Lane,no
Quinn Khan,30 Cedar Lane,no
Rosa Jones,53 Cedar Lane,no
Sam Trent,35 Cedar Lane,yes
Jon Adams,35 Cedar Lane,no
Maya Gill,23 Cedar Lane,no
Liam Hughes,42 Cedar Lane,no
Zak Evans,54 Cedar Lane,no
Pip Vance,27 Cedar Lane,no
Sam Shah,4 Cedar Lane,no
Yara Chen,52 Cedar Lane,no
Ben Owen,30 Cedar Lane,yes
Umar Chen,28 Cedar Lane,no
Hari Gill,34 Cedar Lane,yes
Finn Vance,5 Cedar Lane,no
Finn Bell,41 Cedar Lane,yes
Nia Chen,11 Cedar Lane,yes
Cara Iqbal,38 Cedar Lane,yes
Liam Owen,75 Cedar Lane,no
Vi Khan,1 Cedar Lane,yes
Kemi Khan,56 Cedar Lane,no
Pip Chen,27 Cedar Lane,no
Sam Price,51 Cedar Lane,yes
Rosa Khan,16 Cedar Lane,no
Cara Nash,15 Cedar Lane,no
Quinn Iqbal,13 Cedar Lane,no
Wes Lloyd,48 Cedar Lane,no
Jon Iqbal,14 Cedar Lane,no
Vi Trent,69 Cedar Lane,no
Dev Price,66 Cedar Lane,no
Ben Jones,73 Cedar Lane,no
Finn Evans,23 Cedar Lane,no
Umar Owen,16 Cedar Lane,yes
Rosa Evans,43 Cedar Lane,no
Yara Vance,54 Cedar Lane,no
